,Unnamed: 0,Plant_ID,Date,Humidity (%),TDS Value (ppm),pH Level,Growth Days,Temperature
0,0,1,8/3/2023,53,582,6.4,1,33.4
1,1,1,8/4/2023,53,451,6.1,2,33.5
2,2,1,8/5/2023,59,678,6.4,3,33.4
3,3,1,8/6/2023,68,420,6.4,4,33.4
4,4,1,8/7/2023,74,637,6.5,5,33.4
5,5,1,8/8/2023,77,478,6.8,6,32.3
6,6,1,8/9/2023,75,682,6.0,7,32.3
7,7,1,8/10/2023,63,576,6.3,8,22.7
8,8,1,8/11/2023,69,662,6.1,9,31.9
9,9,1,8/12/2023,59,607,6.2,10,30.2
10,10,1,8/13/2023,77,670,6.5,11,30.1
11,11,1,8/14/2023,54,535,6.4,12,30.1
12,12,1,8/15/2023,78,480,6.0,13,30.1
13,13,1,8/16/2023,56,688,6.4,14,29.8
14,14,1,8/17/2023,62,653,6.6,15,29.6
15,15,1,8/18/2023,70,742,6.1,16,30.9
16,16,1,8/19/2023,57,580,6.2,17,30.8
17,17,1,8/20/2023,78,789,6.5,18,30.9
18,18,1,8/21/2023,63,516,6.0,19,30.2
19,19,1,8/22/2023,51,527,6.4,20,30.5
20,20,1,8/23/2023,57,669,6.2,21,30.8
21,21,1,8/24/2023,73,645,6.6,22,31.3
22,22,1,8/25/2023,52,744,6.8,23,31.4
23,23,1,8/26/2023,61,719,6.4,24,31.4
24,24,1,8/27/2023,77,589,6.7,25,30.1
25,25,1,8/28/2023,71,654,6.4,26,29.4
26,26,1,8/29/2023,64,451,6.4,27,28.7
27,27,1,8/30/2023,51,623,6.6,28,29.1
28,28,1,8/31/2023,55,680,6.7,29,29.2
29,29,1,9/1/2023,50,601,6.4,30,31.7
30,30,1,9/2/2023,52,603,6.7,31,31.7
31,31,1,9/3/2023,76,762,6.7,32,31.7
32,32,1,9/4/2023,55,517,6.0,33,31.7
33,33,1,9/5/2023,55,743,6.6,34,32.0
34,34,1,9/6/2023,76,709,6.0,35,32.1
35,35,1,9/7/2023,68,416,6.2,36,31.5
36,36,1,9/8/2023,68,577,6.3,37,29.8
37,37,1,9/9/2023,61,621,6.5,38,20.1
38,38,1,9/10/2023,64,478,6.0,39,31.1
39,39,1,9/11/2023,79,672,6.3,40,31.2
40,40,1,9/12/2023,62,576,6.7,41,31.2
41,41,1,9/13/2023,57,726,6.1,42,30.4
42,42,1,9/14/2023,75,636,6.8,43,29.1
43,43,1,9/15/2023,55,688,6.6,44,30.6
44,44,1,9/16/2023,68,637,6.2,45,31.5
45,45,2,8/3/2023,74,586,6.1,1,33.4
46,46,2,8/4/2023,65,433,6.8,2,33.5
47,47,2,8/5/2023,55,749,6.7,3,33.4
48,48,2,8/6/2023,68,680,6.8,4,33.4
49,49,2,8/7/2023,50,488,6.4,5,33.4
50,50,2,8/8/2023,78,697,6.3,6,32.3
51,51,2,8/9/2023,77,624,6.6,7,32.3
52,52,2,8/10/2023,57,593,6.5,8,22.7
